gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10498_g0	0.06	0	0	0	0.04	0	0	0
StHeBC4_c10500_g0	0	0.07	0	0	0	0	0.72	0
StHeBC4_c10502_g0	0	0	0	0	0	0	0	0
StHeBC4_c10503_g0	0	0	0.13	0.26	0.56	1.53	0.52	0.62
StHeBC4_c10505_g0	0.21	0.12	0.09	0.4	0.49	0.56	0.11	0.25
StHeBC4_c10508_g0	0.17	0.05	0.3	0	0.05	0.07	0.03	0.11
StHeBC4_c10510_g0	0	0.46	0.06	2.33	0.04	0	0.07	2.47
StHeBC4_c10511_g0	0	0	0.06	0	0	0	0	0
StHeBC4_c10512_g0	0	0	0	0	0	0	0	0
StHeBC4_c10513_g0	0.05	0.12	0.08	0	0	0	0	0.11
StHeBC4_c10514_g0	0.02	0.02	0	0	0	0	0.02	0
StHeBC4_c10515_g0	0	0	0	0	0	0	0	0
StHeBC4_c10516_g0	0.44	0.18	0.11	0.17	0.11	0.04	0.47	106.49
StHeBC4_c10519_g0	0	12.56	2.68	21.53	29.23	1.76	0	0.55
StHeBC4_c10520_g0	0	0	0.1	0.23	0	0	0	0.13
StHeBC4_c10522_g0	0	0	0	0	0	0	0	0
StHeBC4_c10524_g0	0	0	0	0	0	0	0	0
StHeBC4_c10525_g0	4.74	1.45	2.22	2.24	1.34	3.76	1.19	1.36
StHeBC4_c10526_g0	0	0	0	0	0	0	0	0
StHeBC4_c10527_g0	0	0	0	0	0	0	0.04	2.04
StHeBC4_c10528_g0	0	0	0.05	0.07	0	0	0.38	0
StHeBC4_c10529_g0	0.1	1.08	1.57	1.21	2.08	0.28	0	0.11
StHeBC4_c10533_g0	0	0	0.07	0.1	0.09	0.24	0	0
StHeBC4_c10534_g0	0.17	0.19	0.22	0	0.32	0	0	0
StHeBC4_c10536_g0	0	1.86	0.16	0.73	0.68	0.41	0.46	1.61
StHeBC4_c10537_g0	0.15	0.19	0.09	0	0.2	0	0	0
StHeBC4_c10538_g0	0.1	0	0	0	0	0	0	0
StHeBC4_c10540_g0	0	0.06	0	0.06	0.19	0	0	0
StHeBC4_c10541_g0	0	0.13	0	0	0	0.18	0	0
StHeBC4_c10542_g0	1.78	0.28	1.13	0.39	0.42	0.5	0.63	0.43
